key,title,author,year,type,volume,issue,pages,journal,journalShort,publisher,doi,url,abstract,keywords,citedBy,quality,area,subArea,approach,AI,AIsub,data,participants,note
dou2019,Webthetics: Quantifying webpage aesthetics with deep learning,"Dou, Qi; Zheng, Xianjun Sam; Sun, Tongfang; Heng, Pheng-Ann",2019,journalArticle,124,,56-66,International Journal of Human-Computer Studies,,Elsevier,10.1016/j.ijhcs.2018.11.006,https://doi.org/10.1016/j.ijhcs.2018.11.006,"As web has become the most popular media to attract users and customers worldwide, webpage aesthetics plays an increasingly important role for engaging users online and impacting their user experience. We present a novel method using deep learning to automatically compute and quantify webpage aesthetics. Our deep neural network, named as Webthetics, which is trained from the collected user rating data, can extract representative features from raw webpages and quantify their aesthetics. To improve the model performance, we propose to transfer the knowledge from image style recognition task into our network. We have validated that our method significantly outperforms previous method using hand-crafted features such as colorfulness and complexity. These promising results indicate that our method can serve as an effective and efficient means for providing objective aesthetics evaluation during the design process.",Webpage aesthetics; Deep learning; Web visual design; User experience,65,Q1,UX/usability attributes evaluation,Visual aesthetics,Computer vision,deep learning,,Screenshots/images,no,"aesthetics prediction; computer vision; UI screenshots; using existing dataset, deep learning model training; aesthetics evaluation from screenshots; using deep learning to automatically compute and quantify webpage aesthetics; desktop"
duan2023,Towards Generating UI Design Feedback with LLMs,"Duan, Peitong; Warner, Jeremy; Hartmann, Bjoern",2023,conferencePaper,,,,Adjunct Proceedings of the 36th Annual ACM Symposium on User Interface Software and Technology,UIST,ACM,10.1145/3586182.3615810,https://doi.org/10.1145/3586182.3615810,"Feedback on user interface (UI) mockups is crucial for the design process, and designers often seek and leverage feedback to improve their UIs. However, human feedback is not always readily available. Given the recent emergence of LLMs, which have been shown to be proficient in rule-based reasoning, we explore the potential of LLMs to provide feedback automatically. In particular, we investigate automating heuristic evaluation, which currently entails a human expert assessing how well a UI adheres to a given set of design guidelines. We build an LLM-based heuristic evaluation plugin for Figma, which designers can use to evaluate their UI mockups. The plugin queries the LLM with the guidelines and a JSON representation of the UI mockup and then renders the identified guideline violations as constructive suggestions for design improvements. Future work is needed to study what types of usability problems can be successfully identified by LLM-driven heuristic evaluation. © 2023 Owner/Author.",User interfaces; Heuristic evaluation; Mockups; Design-process; Product design; Petroleum reservoir evaluation; User interface designs; Human expert; Usability problems; Design improvements; Plug-ins; Computational user interface design; Design feedbacks; Rule-based reasoning; Computational UI Design; Design Feedback,1,A,UI understanding/feedback,,Source code analysis (web/app crawling),New LMs,LLM,Source code,no,"UI evaluation; LLM feedback; JSON UI representation; none; guidelines evaluation accorting to heuristics, from UI data; potential of LLMs to provide feedback automatically - in figma prototypes (mockups); desktop"
duan2020,Optimizing User Interface Layouts via Gradient Descent,"Duan, Peitong; Wierzynski, Casimir; Nachman, Lama",2020,conferencePaper,,,1–12,Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems,CHI,ACM,10.1145/3313831.3376589,https://doi.org/10.1145/3313831.3376589,"Automating parts of the user interface (UI) design process has been a longstanding challenge. We present an automated technique for optimizing the layouts of mobile UIs. Our method uses gradient descent on a neural network model of task performance with respect to the model's inputs to make layout modifications that result in improved predicted error rates and task completion times. We start by extending prior work on neural network based performance prediction to 2-dimensional mobile UIs with an expanded interaction space. We then apply our method to two UIs, including one that the model had not been trained on, to discover layout alternatives with significantly improved predicted performance. Finally, we confirm these predictions experimentally, showing improvements up to 9.2 percent in the optimized layouts. This demonstrates the algorithm's efficacy in improving the task performance of a layout, and its ability to generalize and improve layouts of new interfaces.",Optimization; data-driven design; gradient descent; deep learning; mobile interfaces; LSTM; performance modeling;,21,A,UX/usability attributes evaluation,user effort/time,User interaction analysis,deep learning,,User interactions,yes,task performance prediction (ux evaluation); participant's log data analysis; user interactions; data logging (usaibility test); task performance prediction from user interactions; gradient descent on a neural network model of task performance with respect to the model’s inputs to make layout modifications that result in improved predicted error rates and task completion times; mobile
eiband2019,When people and algorithms meet: user-reported problems in intelligent everyday applications,"Eiband, Malin; Völkel, Sarah Theres; Buschek, Daniel; Cook, Sophia; Hussmann, Heinrich",2019,conferencePaper,,,96–106,Proceedings of the 24th International Conference on Intelligent User Interfaces,IUI,ACM,10.1145/3301275.3302262,https://doi.org/10.1145/3301275.3302262,"The complex nature of intelligent systems motivates work on supporting users during interaction, for example through explanations. However, there is yet little empirical evidence on specific problems users face in such systems in everyday use. This paper investigates such problems as reported by users: We analysed 35,448 reviews of three apps on the Google Play Store (Facebook, Netflix and Google Maps) with sentiment analysis and topic modelling to reveal problems during interaction that can be attributed to the apps' algorithmic decision-making. We enriched this data with users' coping and support strategies through a follow-up online survey (N=286). In particular, we found problems and strategies related to content, algorithm, user choice, and feedback. We discuss corresponding implications for designing user support, highlighting the importance of user control and explanations of output, not processes. Our work thus contributes empirical evidence to facilitate understanding of users' everyday problems with intelligent systems.",algorithm; explanations; transparency; user control,70,A,UX/usability issue detection,topic classification,Text analysis,NLP,,User feedback/reviews/text,yes,"automated usability problem detection; text analysis; user reviews; web scraping; nan; We analysed 35,448 reviews of three apps on the Google Play Store (Facebook, Netflix and Google Maps) with sentiment analysis and topic modelling to reveal problems during interaction that can be attributed to the apps’ algorithmic decision-making.; -"
eiband2020,A Method and Analysis to Elicit User-Reported Problems in Intelligent Everyday Applications,"Eiband, Malin; Völkel, Sarah Theres; Buschek, Daniel; Cook, Sophia; Hussmann, Heinrich",2020,journalArticle,10,4,,ACM Transactions on Interactive Intelligent Systems,,ACM,10.1145/3370927,https://doi.org/10.1145/3370927,"The complex nature of intelligent systems motivates work on supporting users during interaction, for example, through explanations. However, as of yet, there is little empirical evidence in regard to specific problems users face when applying such systems in everyday situations. This article contributes a novel method and analysis to investigate such problems as reported by users: We analysed 45,448 reviews of four apps on the Google Play Store (Facebook, Netflix, Google Maps, and Google Assistant) with sentiment analysis and topic modelling to reveal problems during interaction that can be attributed to the apps’ algorithmic decision-making. We enriched this data with users’ coping and support strategies through a follow-up online survey (N = 286). In particular, we found problems and strategies related to content, algorithm, user choice, and feedback. We discuss corresponding implications for designing user support, highlighting the importance of user control and explanations of output rather than processes.",Algorithm; explanations; transparency; user control,5,Q3,UX/usability issue detection,topic classification,Text analysis,NLP,,User feedback/reviews/text,yes,"automated usability problem detection; text analysis; user reviews; web scraping; nan; We analysed 35,448 reviews of three apps on the Google Play Store (Facebook, Netflix and Google Maps) with sentiment analysis and topic modelling to reveal problems during interaction that can be attributed to the apps’ algorithmic decision-making.; -"
eskonen2020,Automating GUI testing with image-based deep reinforcement learning,"Eskonen, Juha; Kahles, Julen; Reijonen, Joel",2020,conferencePaper,,,160 – 167,"Proceedings - 2020 IEEE International Conference on Autonomic Computing and Self-Organizing Systems, ACSOS 2020",ACSOS,IEEE,10.1109/ACSOS49614.2020.00038,https://doi.org/10.1109/ACSOS49614.2020.00038,"Users interact with modern applications and devices through graphical user interfaces (GUIs). To ensure intuitive and easy usability, the GUIs need to be tested, where developers aim at finding possible bugs and inconsistent functionality. Manual GUI testing requires time and effort, and thus, its efficiency can be improved with automation. Conventional automation tools for GUI testing reduce the burden of manual testing but also introduce challenges in the maintenance of test cases. In order to overcome these issues, we propose a deep-reinforcement-learning-based (DRL) solution for automated and adaptive GUI testing. Specifically, we propose and evaluate the performance of an image-based DRL solution. We adapt the asynchronous advantage actor-critic (A3C) algorithm to GUI testing inspired by how a human uses a GUI. We feed screenshots of the GUI as the input and let the algorithm decide how to interact with GUI components. We observe that our solution can achieve up to six times higher exploration efficiency compared to selected baseline algorithms. Moreover, our solution is more efficient than inexperienced human users and almost as efficient as an experienced human user in our experimental GUI testing scenario. For these reasons, image-based DRL exploration can be considered as a viable GUI testing method. © 2020 IEEE.",Actor critic; Adaptive GUI; Automation; Automation tools; Deep learning; Efficiency; Graphical user interface (GUIs); Graphical user interfaces; Human users; Its efficiencies; Manual testing; Modern applications; Reinforcement learning; Testing,33,,UI issue detection,,Computer vision,deep learning,,Screenshots/images,no,"automated GUI testing; computer vision; UI screenshot; model training; GUI testing using NN; we propose a deep-reinforcementlearning-based (DRL) solution for automated and adaptive GUI testing. Specifically, we propose and evaluate the performance of an image-based DRL solution; desktop"
esposito2024,The fine line between automation and augmentation in website usability evaluation,"Esposito, Andrea; Desolda, Giuseppe; Lanzilotti, Rosa",2024,journalArticle,14,1,,Scientific Reports,,Springer Nature,10.1038/s41598-024-59616-0,https://doi.org/10.1038/s41598-024-59616-0,"Artificial Intelligence (AI) systems are becoming widespread in all aspects of society, bringing benefits to the whole economy. There is a growing understanding of the potential benefits and risks of this type of technology. While the benefits are more efficient decision processes and industrial productivity, the risks may include a potential progressive disengagement of human beings in crucial aspects of decision-making. In this respect, a new perspective is emerging that aims at reconsidering the centrality of human beings while reaping the benefits of AI systems to augment rather than replace professional skills: Human-Centred AI (HCAI) is a novel framework that posits that high levels of human control do not contradict high levels of computer automation. In this paper, we investigate the two antipodes, automation vs augmentation, in the context of website usability evaluation. Specifically, we have analyzed whether the level of automation provided by a tool for semi-automatic usability evaluation can support evaluators in identifying usability problems. Three different visualizations, each one corresponding to a different level of automation, ranging from a full-automation approach to an augmentation approach, were compared in an experimental study. We found that a fully automated approach could help evaluators detect a significant number of medium and high-severity usability problems, which are the most critical in a software system; however, it also emerged that it was possible to detect more low-severity usability problems using one of the augmented approaches proposed in this paper. © The Author(s) 2024.",artificial intelligence; Artificial Intelligence; automation; Automation; human; Humans; Internet; software; Software; User-Computer Interface,1,Q1,Emotion detection,,User interaction analysis,machine learning,,User interactions,yes,"emotion detection; participant's log data analysis; user interactions; existing automated website testing tools usage, usability test; detecting emotions from user interactions; we investigate the two antipodes, automation vs augmentation, in the context of website usability evaluation; desktop"
esposito2022,SERENE: a Web platform for the UX semi-automatic evaluation of website,"Esposito, Andrea; Desolda, Giuseppe; Lanzilotti, Rosa; Costabile, Maria Francesca",2022,conferencePaper,,,,Proceedings of the 2022 International Conference on Advanced Visual Interfaces,AVI,ACM,10.1145/3531073.3534464,https://doi.org/10.1145/3531073.3534464,"This demo presents SERENE, a Web platform for the UX semi-automatic evaluation of websites. It exploits Artificial Intelligence to predict visitors' emotions starting from their interaction logs. The predicted emotions are shown by interactive heatmaps overlapped to the webpage to be analyzed. The concentration of negative emotions in a specific area of the webpage can help the UX experts identify UX problems. © 2022 Owner/Author.",Automatic UX evaluation; User eXperience; Automatic evaluation; Users' experiences; Websites; Semi-automatics; Heatmaps; Web-page; Evaluation of websites; Specific areas; UX smell; automatic UX evaluation; UX Smells,3,B,Emotion detection,,User interaction analysis,machine learning,,User interactions,yes,"emotion detection; participant's log data analysis; user interactions; none; detecting emotions from user interactions; SERENE, a Web platform for the UX semiautomatic evaluation of websites. It exploits Artificial Intelligence to predict visitors’ emotions starting from their interaction logs.; desktop"
fan2020,Automatic Detection of Usability Problem Encounters in Think-aloud Sessions,"Fan, Mingming; Li, Yue; Truong, Khai N.",2020,journalArticle,10,2,,ACM Transactions on Interactive Intelligent Systems,,ACM,10.1145/3385732,https://doi.org/10.1145/3385732,"Think-aloud protocols are a highly valued usability testing method for identifying usability problems. Despite the value of conducting think-aloud usability test sessions, analyzing think-aloud sessions is often time-consuming and labor-intensive. Consequently, previous research has urged the community to develop techniques to support fast-paced analysis. In this work, we took the first step to design and evaluate machine learning (ML) models to automatically detect usability problem encounters based on users' verbalization and speech features in think-aloud sessions. Inspired by recent research that shows subtle patterns in users' verbalizations and speech features tend to occur when they encounter problems, we examined whether these patterns can be utilized to improve the automatic detection of usability problems. We first conducted and recorded think-aloud sessions and then examined the effect of different input features, ML models, test products, and users on usability problem encounters detection. Our work uncovers several technical and user interface design challenges and sets a baseline for automating usability problem detection and integrating such automation into UX practitioners' workflow. © 2020 ACM.",machine learning; Testing; AI-assisted UX analysis method; speech features; Think aloud; usability problem; user experience (UX); verbalization; User interfaces; Feature extraction; Usability engineering; Speech recognition; User interface designs; Usability problems; Automatic Detection; Labor intensive; Think-aloud protocol; Recent researches; Speech features; Usability testing methods,26,Q3,UX/usability issue detection,audio/visual usability problem encounter,"Audio analysis, Text analysis","NLP, deep learning, machine learning",,Audio/speech,yes,automated usability problem encounters detection; speech data analysis; speech data; lab usabiilty test; usability problem encounter detection from speech data; machine learning (ML) models to automatically detect usability problem encounters based on users’ verbalization and speech features in think-aloud sessions; not mentioned
fan2020a,VisTA: Integrating Machine Intelligence with Visualization to Support the Investigation of Think-Aloud Sessions,"Fan, Mingming; Wu, Ke; Zhao, Jian; Li, Yue; Wei, Winter; Truong, Khai N.",2020,journalArticle,26,1,343 – 352,IEEE Transactions on Visualization and Computer Graphics,,IEEE,10.1109/TVCG.2019.2934797,https://doi.org/10.1109/TVCG.2019.2934797,"Think-aloud protocols are widely used by user experience (UX) practitioners in usability testing to uncover issues in user interface design. It is often arduous to analyze large amounts of recorded think-aloud sessions and few UX practitioners have an opportunity to get a second perspective during their analysis due to time and resource constraints. Inspired by the recent research that shows subtle verbalization and speech patterns tend to occur when users encounter usability problems, we take the first step to design and evaluate an intelligent visual analytics tool that leverages such patterns to identify usability problem encounters and present them to UX practitioners to assist their analysis. We first conducted and recorded think-aloud sessions, and then extracted textual and acoustic features from the recordings and trained machine learning (ML) models to detect problem encounters. Next, we iteratively designed and developed a visual analytics tool, VisTA, which enables dynamic investigation of think-aloud sessions with a timeline visualization of ML predictions and input features. We conducted a between-subjects laboratory study to compare three conditions, i.e., VisTA, VisTASimple (no visualization of the ML's input features), and Baseline (no ML information at all), with 30 UX professionals. The findings show that UX professionals identified more problem encounters when using VisTA than Baseline by leveraging the problem visualization as an overview, anticipations, and anchors as well as the feature visualization as a means to understand what ML considers and omits. Our findings also provide insights into how they treated ML, dealt with (dis)agreement with ML, and reviewed the videos (i.e., play, pause, and rewind). © 2020 IEEE.",machine learning; Usability; Machine learning; Think aloud; User interfaces; Visualization; prediction; Feature extraction; user study; Usability engineering; Tools; Artificial intelligence; artificial intelligence; adult; female; human; article; human experiment; male; User study; videorecording; Usability problems; Visual analytics; Machine intelligence; usability problems; visual analytics; machine intelligence; session review behavior; Think-aloud; UX practices; anticipation,26,Q1,UX/usability issue detection,audio/visual usability problem encounter,"Audio analysis, Text analysis","NLP, deep learning, machine learning",,Audio/speech,yes,automated usability problem encounters detection; speech data analysis; speech data; lab usabiilty test; usability problem encounter detection from speech data; design and evaluate an intelligent visual analytics tool that leverages subtle verbalization and speech patterns to identify usability problem encounters and present them to UX practitioners to assist their analysis; desktop
fan2022,Human-AI Collaboration for UX Evaluation: Effects of Explanation and Synchronization,"Fan, Mingming; Yang, Xianyou; Yu, TszTung; Liao, Q. Vera; Zhao, Jian",2022,journalArticle,6,CSCW1,,Proceedings of the ACM on Human-Computer Interaction,,ACM,10.1145/3512943,https://doi.org/10.1145/3512943,"Analyzing usability test videos is arduous. Although recent research showed the promise of AI in assisting with such tasks, it remains largely unknown how AI should be designed to facilitate effective collaboration between user experience (UX) evaluators and AI. Inspired by the concepts of agency and work context in human and AI collaboration literature, we studied two corresponding design factors for AI-assisted UX evaluation: explanations and synchronization. Explanations allow AI to further inform humans how it identifies UX problems from a usability test session; synchronization refers to the two ways humans and AI collaborate: synchronously and asynchronously. We iteratively designed a tool-AI Assistant-with four versions of UIs corresponding to the two levels of explanations (with/without) and synchronization (sync/async). By adopting a hybrid wizard-of-oz approach to simulating an AI with reasonable performance, we conducted a mixed-method study with 24 UX evaluators identifying UX problems from usability test videos using AI Assistant. Our quantitative and qualitative results show that AI with explanations, regardless of being presented synchronously or asynchronously, provided better support for UX evaluators' analysis and was perceived more positively; when without explanations, synchronous AI better improved UX evaluators' performance and engagement compared to the asynchronous AI. Lastly, we present the design implications for AI-assisted UX evaluation and facilitating more effective human-AI collaboration.",Think aloud; user experience (UX); User interfaces; Usability engineering; Explainable AI; Synchronization; Collaboration; explanation; explainable AI; Iterative methods; Users' experiences; User interface designs; Usability tests; Explanation; User experience (UX); AI-assisted UX evaluation; Intelligent user interface design; Intelligent User Interfaces; Think-aloud usability test; collaboration; intelligent user interface (UI) design; synchronization; think-aloud usability test,38,,UX/usability issue detection,audio/visual usability problem encounter,"Audio analysis, User interaction analysis",machine learning,,"Audio/speech, User interactions",yes,automated usability problem encounters detection; speech data analysis; speech data; lab usabiilty test; AI annotations; AI Assistant for Usability Test Video Analysis; desktop
feijofilho2016,"Affective-Ready, Contextual and Automated Usability Test for Mobile Software","Feijo Filho, Jackson; Prata, Wilson; Oliveira, Juan",2016,conferencePaper,,,638-644,Proceedings of the 18th International Conference on Human-Computer Interaction with Mobile Devices and Services Adjunct,MOBILEHCI,ACM,10.1145/2957265.2961834,https://doi.org/10.1145/2957265.2961834,"This work proposes the use of system to perform affective-ready, contextual and automated usability tests for mobile software. Our proposal augments the traditional methods of software usability evaluation by monitoring users' location, weather conditions, moving/stationary status, data connection availability and spontaneous facial expressions automatically. This aims to identify the moment of negative and positive events. Identifying those situations and systematically associating them to the context of interaction, assisted software creators to overcome design flaws and enhancing interfaces' strengths. The validation of our approach include post-test questionnaires with test subjects. The results indicate that the automated user-context logging can be a substantial supplement to mobile software usability tests.",Usability; Testing; Mobile Software; affective computing; usability; Usability engineering; Automation; Software testing; Surveys; Human computer interaction; Mobile devices; Computer software; Usability tests; Mobile softwares; Affective Computing; Facial Expressions; Data connection; Software usabilities; User context; mobile software,6,B,Emotion detection,,"User interaction analysis, Computer vision",machine learning,,"User movements, Video/facial expressions, User movements",yes,"emotion detection; participant's log data analysis, computer vision; user interactions, face expressions, user location; data logging; nan; augments the   traditional methods of software usability evaluation by   monitoring users’ location, weather conditions, moving/stationary status, data connection availability  and spontaneous facial expressions automaticall; mobile"
ferre2017,Extending Mobile App Analytics for Usability Test Logging,"Ferre, Xavier; Villalba, Elena; Julio, Hector; Zhu, Hongming",2017,conferencePaper,10515,III,114-131,Human-Computer Interaction–INTERACT 2017: 16th IFIP TC 13 International Conference,INTERACT,Springer Nature,10.1007/978-3-319-67687-6_9,https://doi.org/10.1007/978-3-319-67687-6_9,"Mobile application development is characterized by reduced development cycles and high time-to-market pressure. Usability evaluation in mobile applications calls for the application of cost-effective methods, specially adapted to such constraints. We propose extending the Google Analytics for Mobile Applications basic service to store specific low-level user actions of interest for usability evaluation purposes. The solution can serve both for lab usability testing, automating quantitative data gathering, and for logging real use after application release. It is based on identification of relevant user tasks and the detailed events worth gathering, instrumentation of specific code for data gathering, and subsequent data extraction for calculating relevant usability- related variables. We validated our application in a real usability test by comparing the automatically gathered data with the information gathered by the human observer. Results shows both measurements are statistically exchangeable, opening promising new ways to perform usability testing cost-effectively and at greater scale.",Usability engineering; Mobile applications; Human computer interaction; Mobile computing; Usability testing; Automated usability evaluation; Usability evaluation; Cost effectiveness; Mobile application development; Mobile telecommunication systems; Cost-effective methods; Log-file analysis; Related variables; Log file analysis; Usability evaluation of mobile applications,41,A,UX/usability attributes evaluation,user effort/time,User interaction analysis,none,descriptive metrics/visualizations,User interactions,yes,automated usability testing; participant's log data analysis; user interactions; data logging; nan; Google Analytics for Mobile Applications basic service to store specific low-level user actions of interest for usability evaluation purposes; mobile
filho2015,Automated Usability Tests for Mobile Devices through Live Emotions Logging,"Filho, Jackson Feijó; Valle, Thiago; Prata, Wilson",2015,conferencePaper,,,636–643,Proceedings of the 17th International Conference on Human-Computer Interaction with Mobile Devices and Services Adjunct,MOBILEHCI,ACM,10.1145/2786567.2792902,https://doi.org/10.1145/2786567.2792902,"Usability tests for mobile phones software present several consistent obstacles. The issue of observing users' interaction within a controlled and supervised environment versus unsupervised field tests is a significant one. Additionally, the burden of frequently time-consuming and expensive usability tests for small software development teams are evident. This work proposes the use of a system to implement emotions logging in automated usability tests for mobile phones. We do this by efficiently, easily and cost-effectively assessing the users' affective state by evaluating their expressive reactions during a mobile software usability evaluation process. These reactions are collected using the front camera on mobile devices.",Usability; Testing; Emotion Feedback; Mobile Software; Usability engineering; Software testing; Human computer interaction; Mobile devices; Computer software; Software design; Usability tests; Field test; Mobile softwares; Cellular telephone systems; Cellular telephones; Mobile phones; Software development teams; Telephone sets; Users' affective state,17,B,Emotion detection,,"User interaction analysis, Computer vision",machine learning,,"User interactions, Video/facial expressions",yes,"emotion detection; participant's log data analysis; user interactions, face expressions; data logging; nan; use of a system to implement emotions logging in automated usability tests for mobile phones; mobile"
fosco2020,Predicting Visual Importance Across Graphic Design Types,"Fosco, Camilo; Casser, Vincent; Bedi, Amish Kumar; O'Donovan, Peter; Hertzmann, Aaron; Bylinskii, Zoya",2020,conferencePaper,,,249–260,Proceedings of the 33rd Annual ACM Symposium on User Interface Software and Technology,UIST,ACM,10.1145/3379337.3415825,https://doi.org/10.1145/3379337.3415825,"This paper introduces a Unified Model of Saliency and Importance (UMSI), which learns to predict visual importance in input graphic designs, and saliency in natural images, along with a new dataset and applications. Previous methods for predicting saliency or visual importance are trained individually on specialized datasets, making them limited in application and leading to poor generalization on novel image classes, while requiring a user to know which model to apply to which input. UMSI is a deep learning-based model simultaneously trained on images from different design classes, including posters, infographics, mobile UIs, as well as natural images, and includes an automatic classification module to classify the input. This allows the model to work more effectively without requiring a user to label the input. We also introduce Imp1k, a new dataset of designs annotated with importance information. We demonstrate two new design interfaces that use importance prediction, including a tool for adjusting the relative importance of design elements, and a tool for reflowing designs to new aspect ratios while preserving visual importance.",Graphic Designs; Importance; Saliency; Human Attention; Automated Design; User Interface for Design; Deep Learning,50,A,Saliency/visual importance,,Computer vision,deep learning,,Screenshots/images,no,"visual importance; computer vision; UI screenshot; deep learning mdel training; saliency heatmap generation; deep learning-based model simultaneously trained on images from different design classes, including posters, infographics, mobile UIs, as well as natural images, and includes an automatic classification module to classify the input; mobile, desktop"
gardey2022,Predicting interaction effort in web interface widgets,"Gardey, Juan Cruz; Grigera, Julián; Rodríguez, Andrés; Rossi, Gustavo; Garrido, Alejandra",2022,journalArticle,168,,102919,International Journal of Human-Computer Studies,,Elsevier,10.1016/j.ijhcs.2022.102919,https://doi.org/10.1016/j.ijhcs.2022.102919,"The product of good design should render a tool invisible for a user who is executing a task. Unfortunately, web applications are often far from invisible to users, who struggle with poor design of websites and processes in them. We are particularly interested in web processes that involve form filling, so we have been studying how people interact with web forms. Besides cataloguing user interaction problems that are common in web forms, we have noticed that, in many cases, there is a single form element or widget to blame for a certain interaction problem, because such widget is not the most appropriate one for the required input in that particular context. This unfitness of the widget causes an extra burden to the user, which we call interaction effort. In this work we propose measuring the interaction effort of a widget with a unified score based on micro-measures automatically captured from interaction logs. We present the micro-measures that were found relevant to predict the interaction effort in 6 different types of web forms widgets. We describe a large data collection process and prediction models, showing that it is indeed possible to automatically predict a widget interaction effort score by learning from expert human ratings. We consequently believe that the interaction effort could be used as an effective metric to compare small variations in a design in terms of user experience.",Interactivity; User interaction metrics; User experience; Web usability; UX refactoring,10,Q1,UX/usability attributes evaluation,user effort/time,User interaction analysis,machine learning,,User interactions,yes,interaction effort detection; participant's log data analysis; user interactions; usability test; nan; measuring the interaction effort of a widget with a unified score based on micro-measures automatically captured from interaction logs; desktop
georges2016,UX Heatmaps: Mapping User Experience on Visual Interfaces,"Georges, Vanessa; Courtemanche, François; Senecal, Sylvain; Baccino, Thierry; Fredette, Marc; Leger, Pierre-Majorique",2016,conferencePaper,,,4850–4860,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems,CHI,ACM,10.1145/2858036.2858271,https://doi.org/10.1145/2858036.2858271,"In this paper, we present an off-the-shelf UX evaluation tool which contextualizes users' physiological and behavioral signals while interacting with a system. The proposed tool triangulates users' gaze data with inferred users' cognitive and emotional states to produce user experience (UX) heatmaps, which show where users were looking when they experienced specific cognitive and emotional states. Results show that for a given cognitive state (i.e., cognitive load), the proposed UX heatmap was able to effectively highlight the areas where users experienced different levels of cognitive load on an interface. The proposed tool enables the visual analysis of users' various emotional and cognitive states for specific areas on a given interface, and also to compare users' states across multiple interfaces, which should be useful for both UX researchers and practitioners.",User experience; interface design; heatmaps; eye tracking; physiological computing; cognitive load; affective computing,38,A,Emotion detection,,"Eyetracking, Computer vision, Physiological signal analysis",machine learning,,"Video/facial expressions, gaze data, physiological signals",yes,"cognitive load detection; gaze analysis, expressions data analysis; gaze data, face expressions; usability test; nan; UX evaluation tool which contextualizes users’ physiological and behavioral signals while interacting with a system, cognitive load heatmaps generation from gaze and expressions; desktop"
giroux2021,Guidelines for Collecting Automatic Facial Expression Detection Data Synchronized with a Dynamic Stimulus in Remote Moderated User Tests,"Giroux, Felix; Leger, Pierre-Majorique; Brieugne, David; Courtemanche, Francois; Bouvier, Frederique; Chen, Shang-Lin; Tazi, Salima; Rucco, Emma; Fredette, Marc; Coursaris, Constantinos; Senecal, Sylvain",2021,conferencePaper,12762,,243-254,"Human-Computer Interaction. Theory, Methods and Tools: Thematic Area, HCI 2021",HCII,Springer Nature,10.1007/978-3-030-78462-1_18,https://doi.org/10.1007/978-3-030-78462-1_18,"Because of the COVID-19 pandemic, telework policies have required many user experience (UX) labs to restrict their research activities to remote user testing. Automatic Facial Expression Analysis (AFEA) is an accessible psychophysiological measurement that can be easily implemented in remote user tests. However, to date, the literature on Human Computer Interaction (HCI) has provided no guidelines for remote moderated user tests that collect facial expression data and synchronize them with the state of a dynamic stimulus such as a webpage. To address this research gap, this article offers guidelines for effective AFEA data collection that are based on a methodology developed in a concrete research context and on the lessons learned from applying it in four remote moderated user testing projects. Since researchers have less control over test environment settings, we maintain that they should pay greater attention to factors that can affect face detection and \textbackslashor emotion classification prior, during, and after remote moderated user tests. Our study contributes to the development of methods for including psychophysiological and neurophysiological measurements in remote user tests that offer promising opportunities for information systems (IS) research, UX design, and even digital health research.",Human-computer interaction; User experience; Human computer interaction (HCI); Data acquisition; Human computer interaction; Face recognition; User experiences (ux); Research activities; Automatic facial expression analysis; NeurolS; Psychophysiological data; Remote user test; Concrete research; Emotion classification; Facial expression data; Facial expression detections,15,B,Emotion detection,,Computer vision,deep learning,,Video/facial expressions,yes,"emotion detection from facial expressions; facial expression data analysis, eye-tracking; face expressions; remote moderated user testing; nan; guidelines for remote moderated user tests that collect facial expression data and synchronize them with the state of a dynamic stimulus such as a webpage; desktop, mobile"
gonçalves2016,Supporting adaptation of web applications to the mobile environment with automated usability evaluation,"Gonçalves, Luiz F.; Vasconcelos, Leandro G.; Munson, Ethan V.; Baldochi, Laércio A.",2016,conferencePaper,,,787–794,Proceedings of the ACM Symposium on Applied Computing,SAC,ACM,10.1145/2851613.2851863,https://doi.org/10.1145/2851613.2851863,"The year 2014 marked an important shift in theWeb's history, as users started to spend more time surfing the web using mobile devices than using desktop computers. However, today, a large proportion of websites are still not designed for good mobile device access. To tackle this problem, this paper proposes a new approach to adapting desktop-based web applications to the mobile environment. Our approach is supported by a task-based usability evaluation tool called MOBILICS, which is able to evaluate desktop-based web applications used in mobile devices. Based on the evaluation results, our tool provides detailed recommendations for fixing the detected usability problems. We conducted an experiment which demonstrates that our approach provides useful support for the adaptation of a desktop-based web application into a mobile version.",Usability engineering; usability evaluation; Automated usability evaluation; Usability evaluation; Mobile devices; WEB application; Websites; Evaluation results; Usability problems; Personal computers; Desktop-to-mobile adaptation; Mobile environments; Touch interaction; desktop-to-mobile adaptation; touch interaction,7,B,UX/usability issue detection,user interaction usability problem encounter,User interaction analysis,none,metrics + rule-based,User interactions,yes,"automated usability problem detection; participant's log data analysis; user interactions, task results; existing automated website testing tools usage; nan; approach to adapting desktop-based web applications to the mobile environment. Our approach is supported by a task-based usability evaluation tool called MOBILICS, which is able to evaluate desktop-based web applications used in mobile devices; desktop, mobile"
